stat,achievement,value
2109,DLC2_ZOMBIE_SURVIVOR,0
2110,DLC2_ZOMBIE_SECRET,0
2115,DLC2_ZOMBIE_REPAIR_BOARDS,0
2120,DLC2_ZOMBIE_POINTS,0
2125,DLC2_ZOMBIE_NUKE_KILLS,0
2130,DLC2_ZOMBIE_MELEE_KILLS,0
2135,DLC2_ZOMBIE_KILLS,0
2140,DLC2_ZOMBIE_HEADSHOTS,0
2145,DLC2_ZOMBIE_ALL_TRAPS,0
2150,DLC2_ZOMBIE_ALL_PERKS,0
2155,DLC2_ZOMBIE_EE,0
2160,nz_sumpf_highestwave_two,0
2165,nz_sumpf_highestwave_three,0
2170,nz_sumpf_highestwave_four,0
2175,nz_sumpf_totalpoints_two,0
2180,nz_sumpf_totalpoints_three,0
2185,nz_sumpf_totalpoints_four,0
