stat,achievement,value
2109,DLC_ZOMBIE_BARRIERS,0
2110,DLC_ZOMBIE_STARMAN,0
2115,DLC_ZOMBIE_LAWN,0
2120,DLC_ZOMBIE_UPSTAIRS,0
2125,DLC_ZOMBIE_FLAMETHROWER,0
2130,DLC_ZOMBIE_BARRELS,0
2135,DLC_ZOMBIE_MORTAR,0
2140,DLC_ZOMBIE_MAGICBOX,0
2145,DLC_ZOMBIE_LASTSTAND,0
2150,DLC_ZOMBIE_RADIO,0
2160,nz_prototype_highestwave_two,0
2165,nz_prototype_highestwave_three,0
2170,nz_prototype_highestwave_four,0
2175,nz_prototype_totalpoints_two,0
2180,nz_prototype_totalpoints_three,0
2185,nz_prototype_totalpoints_four,0
