name,mature,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,randomize_type,pitch_min,pitch_max,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Footsteps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Run 1st Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step_run_plr_default,,,SFX/Character/Footsteps/dirt_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_bark,,,SFX/Character/Footsteps/wood_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_brick,,,SFX/Character/Footsteps/conc_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_carpet,,,SFX/Character/Footsteps/snow_run_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp ,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_cloth,,,SFX/Character/Footsteps/snow_run_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_concrete,,,SFX/Character/Footsteps/conc_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_dirt,,,SFX/Character/Footsteps/dirt_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_flesh,,,null.wav,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_foliage,,,SFX/Character/Footsteps/grass_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_glass,,,SFX/Character/Footsteps/dirt_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_grass,,,SFX/Character/Footsteps/grass_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_gravel,,,SFX/Character/Footsteps/gravel_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
#step_run_plr_ice,,,SFX/Character/Footsteps/snow_run_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_metal,,,SFX/Character/Footsteps/metal_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.7,0.85,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_mud,,,SFX/Character/Footsteps/mud_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_paper,,,SFX/Character/Footsteps/conc_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_plaster,,,SFX/Character/Footsteps/conc_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_rock,,,SFX/Character/Footsteps/conc_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_sand,,,SFX/Character/Footsteps/dirt_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
#step_run_plr_snow,,,SFX/Character/Footsteps/snow_run_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_water,,,SFX/Character/Footsteps/water_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,!nazi_zombie_sumpf,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
step_run_plr_wood,,,SFX/Character/Footsteps/wood_walk_##,,0.1,0.2,50,750,,,,,character,,,0.7,,,,,0.85,1.05,2d,,,,0.85,all_sp all_mp,,,gear_run_player,,,,,,,,,,,,,,,80,80,0.25,1
