name,file,mature,platform,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,,isbig
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Marine 1 (Player 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plr_0_vox_ammo_low_0,voiceovers\zombie\dlc0\Player0\feedback_ammo_low_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_ammo_low_1,voiceovers\zombie\dlc0\Player0\feedback_ammo_low_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_ammo_low_2,voiceovers\zombie\dlc0\Player0\feedback_ammo_low_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_ammo_low_3,voiceovers\zombie\dlc0\Player0\feedback_ammo_low_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_close_0,voiceovers\zombie\dlc0\Player0\feedback_close_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_close_1,voiceovers\zombie\dlc0\Player0\feedback_close_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_close_2,voiceovers\zombie\dlc0\Player0\feedback_close_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_close_3,voiceovers\zombie\dlc0\Player0\feedback_close_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_close_4,voiceovers\zombie\dlc0\Player0\feedback_close_04.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_dmg_close_0,voiceovers\zombie\dlc0\Player0\feedback_dmg_close_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_dmg_close_1,voiceovers\zombie\dlc0\Player0\feedback_dmg_close_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_dmg_close_2,voiceovers\zombie\dlc0\Player0\feedback_dmg_close_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_dmg_close_3,voiceovers\zombie\dlc0\Player0\feedback_dmg_close_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_dmg_close_4,voiceovers\zombie\dlc0\Player0\feedback_dmg_close_04.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_cough_0,voiceovers\zombie\dlc0\Player0\feedback_kill_explo_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_explo_0,voiceovers\zombie\dlc0\Player0\feedback_kill_explo_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_explo_1,voiceovers\zombie\dlc0\Player0\feedback_kill_explo_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_explo_2,voiceovers\zombie\dlc0\Player0\feedback_kill_explo_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_explo_3,voiceovers\zombie\dlc0\Player0\feedback_kill_explo_04.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_explo_4,voiceovers\zombie\dlc0\Player0\feedback_kill_explo_05.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_flame_0,voiceovers\zombie\dlc0\Player0\feedback_kill_flame_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_flame_1,voiceovers\zombie\dlc0\Player0\feedback_kill_flame_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_flame_2,voiceovers\zombie\dlc0\Player0\feedback_kill_flame_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_0,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_1,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_2,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_3,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_4,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_04.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_5,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_05.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_6,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_06.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_kill_headdist_7,voiceovers\zombie\dlc0\Player0\feedback_kill_headd_07.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_killstreak_0,voiceovers\zombie\dlc0\Player0\feedback_killstreak_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_killstreak_1,voiceovers\zombie\dlc0\Player0\feedback_killstreak_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_killstreak_2,voiceovers\zombie\dlc0\Player0\feedback_killstreak_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_killstreak_3,voiceovers\zombie\dlc0\Player0\feedback_killstreak_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_near_0,voiceovers\zombie\dlc0\Player0\feedback_near_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_near_1,voiceovers\zombie\dlc0\Player0\feedback_near_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.5,1000,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
