name,file,mature,platform,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,,isbig
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Footsteps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX_intro_stg,Stream/Music/Mission/Ber2/mx_intro_stg.wav,,,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
mx_zombie_wave_1,Stream\Music\Mission\zombie\mx_wave_1.wav,,,,0.2,0.2,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,,,,,,,0,,,,,,100,100,0.25,1,,
mx_game_over,Stream\Music\Mission\zombie\mx_game_over2.wav,,,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#bg_zombie_madness,Stream\Level\zombie\bgs\bg_zombie_madness.wav,,,,0,0,,,1,reject,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,wpn_all,,,,,,0,,,,,,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_dog_wave,Stream\Music\Mission\zombie\mx_dog_wave_b.wav,,,,0.3,0.3,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,7000,music_all,,,,,,0,,,,,,100,100,0.25,1,,
mx_eggs,Stream\Music\Mission\zombie\mx_lullaby.wav,,,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_splash_screen,Stream\Music\Mission\zombie\mx_splash_screen.wav,,,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,master,,,,,,,music_all,,,,,,,,,,,,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_revive_jingle,SFX\Levels\zombie\perksacola\jingle\revive_jingle.wav,,,,1,1,50,500,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.25,,,,,,90,90,0.25,1,,
mx_jugger_jingle,SFX\Levels\zombie\perksacola\jingle\jugga_jingle.wav,,,,1,1,50,500,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.25,,,,,,90,90,0.25,1,,
mx_doubletap_jingle,SFX\Levels\zombie\perksacola\jingle\doubletap_jingle.wav,,,,1,1,50,500,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.25,,,,,,90,90,0.25,1,,
mx_speed_jingle,SFX\Levels\zombie\perksacola\jingle\speed_jingle.wav,,,,1,1,50,500,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.25,,,,,,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_revive_sting,SFX\Levels\zombie\perksacola\jingle\revive_sting.wav,,,,1,1,50,800,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.15,,,,,,90,90,0.25,1,,
mx_jugger_sting,SFX\Levels\zombie\perksacola\jingle\jugga_sting.wav,,,,1,1,50,800,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.15,,,,,,90,90,0.25,1,,
mx_doubletap_sting,SFX\Levels\zombie\perksacola\jingle\double_sting.wav,,,,1,1,50,800,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.15,,,,,,90,90,0.25,1,,
mx_speed_sting,SFX\Levels\zombie\perksacola\jingle\speed_sting.wav,,,,1,1,50,800,,,,,full_vol,,,0.8,1800,,curve0,1,1,,3d,,,,,,,,,,,,,,100,200,0.5,0.15,,,,,,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ZOMBIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_zombies_left,SFX\Levels\zombie\maps\asylum\outside\lines\wind_left.wav,,,,0.75,0.75,150,1000,2,priority,,,full_vol,,,,1250,,curve1,1,1,,3d,streamed,,looping,0.8,,,,,,,,,,,,,0.3,,,,,,35,55,0.25,1,,
amb_zombies_right,SFX\Levels\zombie\maps\asylum\outside\lines\wind_right.wav,,,,0.75,0.75,150,1000,2,priority,,,full_vol,,,,1250,,curve1,1,1,,3d,streamed,,looping,0.8,,,,,,,,,,,,,0.3,,,,,,35,55,0.25,1,,
amb_spooky_2d,SFX\Levels\zombie\proto\amb_spooky_2d_##,,,,0.25,0.35,,,8,reject,,,full_vol,,,,,,,0.94,1.04,,2d,,,,,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1,,
