name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,,isbig

# Footsteps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX_intro_stg,,Stream/Music/Mission/Ber2/mx_intro_stg.wav,,1,1,,,,,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,
mx_zombie_wave_1,,Stream\Music\Mission\zombie\mx_wave_1.wav,,0.06,0.06,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,,,,,,,,,,,,,,0,,,,,,100,100,0.25,1,,
mx_game_over,,Stream\Music\Mission\zombie\mx_game_over.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,

#bg_zombie_madness,,Stream\Level\zombie\bgs\bg_zombie_madness.wav,,0,0,,,1,reject,,,music,,,,,,,,,,2d,streamed,,,,,,,,,,wpn_all,,,,,,0,,,,,,100,100,0.25,1,,

mx_splash_screen,,Stream\Music\Mission\zombie\mx_splash_screen.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,master,,,,,,,music_all,,,,,,,,,,,,90,90,0.25,1,,

mx_eggs,,Stream\Music\Mission\zombie\mx_undone.wav,,1,1,,,,,,,music,,,0,,,,,,,2d,streamed,,,,,,,,,,music_all,,,,,,0,,,,,,100,100,0.25,1,,

# ZOMBIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

amb_zombies_left,,SFX\Levels\zombie\proto\lines\amb_spooky_left.wav,,0.8,0.8,200,2500,1,reject,,,ambience,,,,3000,,curve1,,,,3d,streamed,,looping,,,,,,,,,,,250,800,0.75,0.1,,,,,,100,100,0.25,1
amb_zombies_right,,SFX\Levels\zombie\proto\lines\amb_spooky_right.wav,,0.8,0.8,200,2500,1,reject,,,ambience,,,,3000,,curve1,,,,3d,streamed,,looping,,,,,,,,,,,250,800,0.75,0.1,,,,,,100,100,0.25,1
amb_spooky_2d,,SFX\Levels\zombie\proto\amb_spooky_2d_##,,0.5,0.75,,,8,reject,,,full_vol,,,,,,,0.94,1.04,,2d,,,,,,,,,,,music,,,,,,0,,,,,,100,100,0.25,1
amb_spooky,,SFX\Levels\zombie\proto\amb_spooky_##,,0.5,0.85,150,1500,8,reject,,,full_vol,,,,3300,,curve2,0.85,1.2,,3d,,0.8,,,,,,,,,,,,,,,0.1,,,,,,100,100,0.25,1

fire_manager_0,,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_1,,SFX/Destruction/fires/dynamic/dyn_fire_01.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_2,,SFX/Destruction/fires/dynamic/dyn_fire_02.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_3,,SFX/Destruction/fires/dynamic/dyn_fire_03.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1



#ZOMBIE SFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_vocals,,customSFX\zombie\zombie_vox_proto\ambient_##,,0.35,0.65,50,2500,4,priority,1,reject,voice,,curve3,0.8,4000,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,25,0.25,1,,
attack_vocals,,customSFX\zombie\zombie_vox_proto\attack_##,,1,1,200,2500,2,priority,1,reject,voice,,,0.8,1200,,curve2,1,1.1,,3d,,,,,,,,,,,,,,75,250,0.75,0.15,,,no,,,70,90,0.25,1,,
behind_vocals,,customSFX\zombie\zombie_vox_proto\behind_##,,0.8,0.9,150,450,2,reject,1,reject,voice,,,1,500,,curve1,1,1.1,,3d,,,,,,,,,,,,,,,,,0.25,,,no,,,70,90,0.25,1,,
sprint_vocals,,customSFX\zombie\zombie_vox_proto\sprint_##,,0.7,0.8,150,2500,4,priority,1,reject,voice,,,0.8,1250,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.15,,,,,,60,70,0.25,1,,
board_vocals,,customSFX\zombie\zombie_vox_proto\attack_##,,0.5,0.6,150,1000,3,priority,1,reject,voice,,curve3,0.8,3500,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,25,0.25,1

crawl_vocals,,customSFX\zombie\crawl_vocals_##,,0.7,0.85,75,1000,,,1,reject,voice,,,0.8,1500,,curve2,0.8,1.2,,3d,,0.7,,0.7,,,,,,,,,,,,,0.5,,,,,,60,70,0.25,1,,
crawl_vocals_slow,,customSFX\zombie\crawl_vocals_##,,0.6,0.75,75,1000,,,1,reject,voice,,,0.8,1500,,curve2,0.8,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,60,70,0.25,1,,
crawl_hands,,customSFX\zombie\crawl_##,,0.35,0.55,75,550,5,oldest,,,voice,,,0.8,700,,curve2,0.94,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,60,70,0.25,1,,

