name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler,isbig
# FUN stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_rgun_fire_plr,,SFX\Weapon\ray_gun\wpn_ray_st_f.wav,,1,1,,,1,oldest,,,rfl_1st,,,,,,,0.98,1.02,,2d,,,,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_fire_plr_act,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
weap_rgun_fire_rear_plr,,SFX\Weapon\ray_gun\wpn_ray_st_r.wav,,1,1,,,1,oldest,,,rfl_1st,,,,,,,0.98,1.02,,2d,,,,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_fire_rear_plr,,,wpn_rear,,,,,,,,,,,,90,90,0.25,1,,
weap_rgun_fire_plr_act,,SFX\Weapon\ray_gun\wpn_ray_st_f_act.wav,,1,1,,,3,oldest,,,rfl_1st,,,,,,,1,1,,2d,,,,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_flux_plr_l,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
weap_rgun_fire,,SFX\Weapon\ray_gun\wpn_ray_mn.wav,,1,1,250,4000,1,oldest,,,rfl_3rd,,,,,,,0.98,1.02,,3d,,,,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_fire_act,,,,,,,,,,,,,,,70,90,0.25,1,,
weap_rgun_fire_act,,SFX\Weapon\ray_gun\wpn_ray_mn_act.wav,,1,1,100,400,3,oldest,,,rfl_3rd,,,,,,,1,1,,3d,,,,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_flux_l,,,,,,,,,,,,,,,70,90,0.25,1,,
weap_rgun_flux_plr_l,,SFX\Weapon\ray_gun\wpn_ray_flux_l.wav,,0.95,1,200,2000,3,oldest,,,decay,,curve2,1,,,,0.98,1.02,,3d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_flux_plr_r,,75,,,,,,,,,,,left_shot,4,90,90,0.25,1,,
weap_rgun_flux_plr_r,,SFX\Weapon\ray_gun\wpn_ray_flux_r.wav,,0.9,1,200,2000,3,oldest,,,decay,,curve2,1,,,,1,1,,3d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,,,100,,,,,,,,,,,right_shot,4,90,90,0.25,1,,
weap_rgun_flux_l,,SFX\Weapon\ray_gun\wpn_ray_flux_l.wav,,0.95,1,200,1800,3,oldest,,,decay,,curve2,,,,,0.98,1.02,,3d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_flux_r,,75,,,,,,,,,,,left_shot,2,90,90,0.25,1,,
weap_rgun_flux_r,,SFX\Weapon\ray_gun\wpn_ray_flux_r.wav,,0.9,1,200,1800,3,oldest,,,decay,,curve2,,,,,1,1,,3d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,,,100,,,,,,,,,,,right_shot,2,90,90,0.25,1,,
weap_rgun_loop,,SFX\Weapon\ray_gun\wpn_ray_loop.wav,,1,1,300,4000,,,,,rfl_3rd,,curve2,,,,,0.98,1.02,,3d,,,looping,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,,,,,,,,,,,,,,,,70,90,0.25,1,yes,yes
weap_rgun_exp,,SFX\Weapon\ray_gun\wpn_ray_exp.wav,,1,1,1200,8000,,,,,full_vol,,,,,,,0.98,1.02,,3d,,,,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_exp_cl,,,,,,,,,,,,,,,70,90,0.25,1,,yes
weap_rgun_exp_cl,,SFX\Weapon\ray_gun\wpn_ray_exp_cl.wav,,1,1,250,400,,,,,full_vol,,,,,,,0.98,1.02,,3d,,,,0.75,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_exp_flux_l,,250,,,,,,,,,,,,,70,90,0.25,1,,yes
weap_rgun_exp_flux_l,,SFX\Weapon\ray_gun\wpn_ray_flux_l.wav,,0.95,1,200,1800,3,oldest,,,decay,,curve2,1,,,,0.7,0.8,,3d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,weap_rgun_exp_flux_r,,125,,,,,,,,,,,left_player,3,90,90,0.25,1,,
weap_rgun_exp_flux_r,,SFX\Weapon\ray_gun\wpn_ray_flux_r.wav,,0.9,1,200,1800,3,oldest,,,decay,,curve2,1,,,,0.7,0.8,,3d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,,,250,,,,,,,,,,,right_player,3,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ray_reload_open,,SFX/Weapon/ray_gun/wpn_ray_reload_open.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
ray_reload_battery_out,,SFX/Weapon/ray_gun/wpn_ray_reload_battery_out.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
ray_reload_battery_in,,SFX/Weapon/ray_gun/wpn_ray_reload_battery.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
ray_reload_close,,SFX/Weapon/ray_gun/wpn_ray_reload_close.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,pel1 audio_test_tuey nazi_zombie_prototype,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
